model,numLoadInsts,numStoreInsts,numInsts,numBranches,intAluAccesses,numOps,ipc
3.0,2725768.0,2926104.0,13181318.0,375437.0,3394077.0,13102194.0,0.034342
3.0,127073.0,78954.0,857867.0,93842.0,860351.0,824330.0,0.157473
3.0,90901.0,48237.0,614768.0,67836.0,616513.0,591728.0,0.168177
3.0,96462.0,52830.0,661159.0,69400.0,662694.0,625716.0,0.160593
3.0,88496.0,48400.0,592283.0,62169.0,593908.0,569220.0,0.190027
3.0,88438.0,48378.0,591959.0,62148.0,593607.0,569220.0,0.193279
3.0,89093.0,48999.0,592575.0,62668.0,594754.0,568938.0,0.19215
3.0,90055.0,49312.0,603744.0,63598.0,605831.0,579176.0,0.200368
3.0,172208246.0,46012806.0,998201380.0,145012583.0,1010388426.0,732461431.0,0.54196
3.0,7262567.0,165572.0,37210994.0,3650450.0,29574466.0,34527289.0,0.066239
3.0,7315012.0,153605.0,37777884.0,3770816.0,30211978.0,35088791.0,0.067387
3.0,7330349.0,150567.0,37822370.0,3779575.0,30263493.0,35211982.0,0.067579
3.0,7347709.0,154068.0,37932086.0,3786673.0,30333324.0,35263975.0,0.06771
3.0,7297586.0,156283.0,37456407.0,3689973.0,29797802.0,34753655.0,0.066779
3.0,7304807.0,161198.0,37480273.0,3672414.0,29745892.0,34693519.0,0.066709
3.0,7290978.0,154718.0,37334045.0,3660511.0,29653924.0,34665767.0,0.066592
3.0,7315565.0,149298.0,37375155.0,3665517.0,29706684.0,34780101.0,0.066758
3.0,6949012.0,161611.0,35905942.0,3536089.0,28054159.0,34775220.0,0.06406
3.0,6892776.0,146089.0,35567961.0,3503143.0,27785936.0,34475181.0,0.063553
3.0,6915000.0,139684.0,35621667.0,3510448.0,27869282.0,34586871.0,0.063683
3.0,6919091.0,142235.0,35664940.0,3514234.0,27888020.0,34602985.0,0.063742
3.0,6918954.0,142559.0,35665907.0,3513837.0,27884485.0,34607264.0,0.063755
3.0,6880693.0,147502.0,35519290.0,3497473.0,27739553.0,34413765.0,0.063459
3.0,6878562.0,139095.0,35434412.0,3492199.0,27720889.0,34400673.0,0.063349
3.0,6944560.0,151502.0,35872592.0,3531738.0,28002194.0,34737553.0,0.064083
3.0,10590582.0,745388.0,85228205.0,7590956.0,88454015.0,28095470.0,0.116206
3.0,10540228.0,737039.0,84953986.0,7575864.0,88176487.0,28060419.0,0.116121
3.0,10432958.0,737231.0,84389807.0,7510237.0,87479871.0,27888671.0,0.11546
3.0,10530905.0,739713.0,85011375.0,7568836.0,88179248.0,28018080.0,0.115994
3.0,10674115.0,960857.0,85236865.0,7548216.0,88172468.0,27914834.0,0.115542
3.0,10484949.0,739642.0,84819832.0,7546917.0,87947423.0,27999206.0,0.115919
3.0,10478588.0,738541.0,84606825.0,7530621.0,87735025.0,27924024.0,0.115605
3.0,10540149.0,738974.0,85022007.0,7571875.0,88226284.0,28030685.0,0.116044
3.0,2716158.0,2979177.0,14230686.0,410074.0,3738337.0,14165447.0,0.018181
3.0,2762471.0,2893348.0,12255665.0,398535.0,3602755.0,12201546.0,0.014867
3.0,2701260.0,2977546.0,14368059.0,417265.0,3709191.0,14317373.0,0.018534
3.0,2731842.0,2920968.0,13016044.0,394667.0,3589897.0,12959867.0,0.016225
3.0,2777666.0,2902888.0,12032046.0,376865.0,3501978.0,11974133.0,0.014514
3.0,2689130.0,2929826.0,13578976.0,389507.0,3551681.0,13530195.0,0.017287
3.0,2756302.0,2913762.0,12407633.0,371587.0,3477331.0,12345625.0,0.015201
3.0,2732579.0,2948169.0,13331369.0,388021.0,3561446.0,13270919.0,0.01678
1.0,2798934.0,2992917.0,14359777.0,411882.0,3774961.0,14190197.0,0.018892
1.0,2830775.0,2878814.0,12261782.0,385896.0,3563096.0,12085377.0,0.015301
1.0,2781967.0,2999894.0,14436032.0,403248.0,3672712.0,14290523.0,0.019201
1.0,2801018.0,2918803.0,13028489.0,379116.0,3532704.0,12863659.0,0.016732
1.0,2822595.0,2880236.0,11996265.0,363481.0,3441734.0,11839070.0,0.014915
1.0,2776076.0,2952852.0,13699501.0,385788.0,3562584.0,13557492.0,0.017965
1.0,2818339.0,2900652.0,12458939.0,369992.0,3483964.0,12291173.0,0.015714
1.0,2767922.0,2942405.0,13344238.0,380998.0,3545789.0,13206550.0,0.017341
1.0,55401.0,34400.0,376012.0,41228.0,381511.0,345103.0,0.288873
1.0,40037.0,20971.0,272652.0,30360.0,278630.0,251865.0,0.353686
1.0,38926.0,21083.0,262961.0,27490.0,267171.0,242917.0,0.352934
1.0,118800336.0,30972049.0,711000671.0,96493388.0,740164411.0,424143905.0,0.759472
1.0,38528.0,20998.0,258798.0,27209.0,263142.0,239011.0,0.402081
1.0,38679.0,21076.0,259582.0,27297.0,263877.0,239011.0,0.371099
1.0,38975.0,21115.0,263279.0,27527.0,267506.0,242917.0,0.373812
1.0,38618.0,21050.0,259024.0,27199.0,263315.0,239011.0,0.366461
1.0,13845334.0,102734.0,53514604.0,3994982.0,33203946.0,51108115.0,0.126191
1.0,13968630.0,89150.0,56507610.0,4576226.0,36495358.0,54152089.0,0.135694
1.0,13969903.0,89130.0,56500292.0,4572643.0,36481855.0,54150220.0,0.135708
1.0,13953817.0,89134.0,56358907.0,4543532.0,36312800.0,54019999.0,0.135376
1.0,14043933.0,89179.0,56718487.0,4570887.0,36555164.0,54356017.0,0.135434
1.0,14040117.0,89271.0,56590196.0,4543664.0,36402757.0,54221844.0,0.135243
1.0,13977939.0,89114.0,56117636.0,4473950.0,35963717.0,53758661.0,0.134517
1.0,13719776.0,90360.0,55060237.0,4386143.0,35286275.0,52739950.0,0.13405
1.0,2315991.0,2547120.0,11543100.0,349283.0,3160660.0,11454783.0,0.032668
1.0,2281894.0,2538066.0,12828583.0,467746.0,3721842.0,12749844.0,0.037144
1.0,2346543.0,2548821.0,12163585.0,457248.0,3675767.0,12093237.0,0.034426
1.0,2357178.0,2534809.0,11746459.0,446890.0,3616128.0,11680325.0,0.032859
1.0,2415113.0,2566926.0,11611671.0,442156.0,3609170.0,11538144.0,0.032149
1.0,2294492.0,2530024.0,11633347.0,369732.0,3229080.0,11560373.0,0.033092
1.0,2266819.0,2539758.0,11821748.0,349238.0,3130065.0,11747307.0,0.034028
1.0,2352367.0,2555233.0,11050361.0,335897.0,3071114.0,10978061.0,0.030845
1.0,2390397.0,2528191.0,11602265.0,348187.0,3204495.0,11385933.0,0.034046
