model,numLoadInsts,numStoreInsts,numInsts,numBranches,intAluAccesses,numOps,ipc,hit,L1Icache,L1Dcache,L2cache,pipelinewidth
2,12161678,6081119,85126670,6089170,85129578,85110458,0.2004,17843402,32768,524288,1048576,8
2,12163238,6082121,85134995,6089509,85137684,85120150,0.200428,17845887,32768,524288,1048576,8
2,12165165,6083103,85147970,6090309,85150625,85132976,0.200459,17848139,32768,524288,1048576,8
2,12141074,6071130,84978512,6078202,84981280,84962315,0.200055,17812855,32768,524288,1048576,8
2,12158265,6079811,85098715,6086630,85101401,85083144,0.20034,17838300,32768,524288,1048576,8
2,55401,34400,376012,41228,381511,345103,0.288873,76769,32768,524288,1048576,8
2,40037,20971,272652,30360,278630,251865,0.353686,50820,32768,524288,1048576,8
2,38926,21083,262961,27490,267171,242917,0.352934,49738,32768,524288,1048576,8
2,118800336,30972049,711000671,96493388,740164411,424143905,0.759472,113723003,32768,524288,1048576,8
2,38528,20998,258798,27209,263142,239011,0.402081,49349,32768,524288,1048576,8
2,38679,21076,259582,27297,263877,239011,0.371099,49387,32768,524288,1048576,8
2,38975,21115,263279,27527,267506,242917,0.373812,49721,32768,524288,1048576,8
2,38618,21050,259024,27199,263315,239011,0.366461,49264,32768,524288,1048576,8
2,49724546,5415851,218575240,2152009,54035540,218416132,0.763173,39597188,32768,524288,1048576,8
2,55047769,5664221,241218368,2256996,58573113,241171940,0.964311,43484939,32768,524288,1048576,8
2,50918203,5886747,224393258,2236491,55654590,224348005,0.609988,40716838,32768,524288,1048576,8
2,52155663,5782714,229386581,2237561,56465720,229339890,0.682945,41516960,32768,524288,1048576,8
2,51063641,5579264,224482600,2190073,55203063,224435343,0.709844,40552747,32768,524288,1048576,8
2,50855716,5586380,223648393,2193226,55076164,223601612,0.690897,40413001,32768,524288,1048576,8
2,50627956,5928520,220930181,1646929,52160991,220886268,0.593592,40464073,32768,524288,1048576,8
2,50857029,5649576,223762309,2203020,55191925,223714509,0.670817,40468868,32768,524288,1048576,8
2,13845334,102734,53514604,3994982,33203946,51108115,0.126191,3543357,32768,524288,1048576,8
2,13968630,89150,56507610,4576226,36495358,54152089,0.135694,3780894,32768,524288,1048576,8
2,13969903,89130,56500292,4572643,36481855,54150220,0.135708,3770580,32768,524288,1048576,8
2,13953817,89134,56358907,4543532,36312800,54019999,0.135376,3776028,32768,524288,1048576,8
2,14043933,89179,56718487,4570887,36555164,54356017,0.135434,3763778,32768,524288,1048576,8
2,14040117,89271,56590196,4543664,36402757,54221844,0.135243,3758208,32768,524288,1048576,8
2,13977939,89114,56117636,4473950,35963717,53758661,0.134517,3736628,32768,524288,1048576,8
2,13719776,90360,55060237,4386143,35286275,52739950,0.13405,3651602,32768,524288,1048576,8
2,11716572,115288,52311951,4168770,32926657,52243886,0.081791,4508433,32768,524288,1048576,8
2,11911588,97388,55655182,4811637,36494855,55598389,0.088007,4771245,32768,524288,1048576,8
2,11857543,97685,54967682,4693183,35798004,54910506,0.086837,4712293,32768,524288,1048576,8
